shipment_id,sale_id,origin_store_id,destination_address,transport_mode,carrier,departure_date,arrival_date,status,distance,cost
13,15,5,"г. Урай, пер. Октября, д. 2/2 стр. 992, 951690",Авиа,ТрансЛогистик,2023-11-17 16:59:00,2023-11-18 13:59:00,Доставлено,777,1477.67
14,16,5,"к. Суздаль, ул. Мелиораторов, д. 3 стр. 49, 578350",Морской,ТрансЛогистик,2023-03-24 19:44:00,2023-03-27 14:44:00,Доставлено,436,824.98
15,17,3,"г. Стерлитамак, пер. Ермака, д. 4/8 к. 4, 171939",Авиа,ТрансЛогистик,2023-05-15 05:25:00,2023-05-15 19:25:00,Доставлено,755,1158.48
16,18,5,"клх Шилка, пер. Балтийский, д. 5/7, 002069",Грузовик,ЭкспрессДоставка,2023-02-04 11:12:00,2023-02-05 13:12:00,Доставлено,592,897.95
17,19,2,"п. Анапа, пр. Минский, д. 4/3 к. 97, 601718",Авиа,ТрансЛогистик,2023-04-29 05:59:00,2023-04-30 03:59:00,Доставлено,94,179.42
18,21,1,"с. Березники, ул. Калинина, д. 4/2 к. 618, 342272",ЖД,ТрансЛогистик,2023-06-26 16:06:00,2023-06-27 11:06:00,Доставлено,440,871.04
19,22,4,"к. Ачхой Мартан, пер. Проточный, д. 9, 782000",Авиа,ЛогистикПро,2023-08-26 04:13:00,2023-08-27 18:13:00,Доставлено,253,290.03
20,23,3,"ст. Архангельск, наб. Подгорная, д. 6/3 стр. 320, 112190",Авиа,ЭкспрессДоставка,2023-02-10 23:10:00,2023-02-12 23:10:00,Доставлено,986,909.43
21,24,4,"клх Тюмень, алл. Мира, д. 9 стр. 174, 266055",Авиа,ТрансЛогистик,2023-02-27 10:48:00,2023-02-28 18:48:00,Доставлено,731,1175.73
22,25,8,"п. Тутончаны, ул. Журавлева, д. 95 к. 2/1, 343351",Грузовик,ЛогистикПро,2023-09-21 01:20:00,2023-09-23 18:20:00,Доставлено,569,1134.15
23,26,3,"г. Кострома, наб. Крымская, д. 6, 741866",Грузовик,ЭкспрессДоставка,2023-09-11 19:36:00,2023-09-14 18:36:00,Доставлено,346,397.88
24,27,5,"к. Саянск, наб. Гончарова, д. 8 к. 6, 245991",Грузовик,ЛогистикПро,2023-03-04 11:13:00,2023-03-06 05:13:00,Доставлено,22,32.35
25,28,2,"с. Дербент, алл. Слободская, д. 9 стр. 7/6, 854700",Авиа,ТрансЛогистик,2023-12-08 20:18:00,2023-12-09 07:18:00,Доставлено,14,22.93
26,29,8,"с. Верещагино (Перм.), пер. Курганный, д. 123, 813825",Авиа,ЭкспрессДоставка,2023-10-31 02:46:00,2023-11-01 05:46:00,Доставлено,91,148.11
27,30,4,"г. Улан-Удэ, алл. Сахалинская, д. 86, 726360",ЖД,ТрансЛогистик,2023-01-25 05:55:00,2023-01-25 17:55:00,Доставлено,649,680.65
28,31,8,"с. Тихвин, пр. Профсоюзный, д. 31 к. 6, 989661",Морской,ТрансЛогистик,2023-09-19 04:52:00,2023-09-21 21:52:00,Доставлено,372,446.15
29,32,1,"с. Сладково, пер. Комсомольский, д. 594 стр. 7, 546016",Грузовик,ЛогистикПро,2023-05-22 14:03:00,2023-05-22 19:03:00,Доставлено,467,729.04
30,33,9,"с. Соболево, пер. Лазо, д. 3, 594848",ЖД,ЛогистикПро,2023-04-16 00:16:00,2023-04-18 06:16:00,Доставлено,33,33.52
31,34,4,"с. Усть-Илимск, ул. Астраханская, д. 8 стр. 31, 059531",Грузовик,ЛогистикПро,2023-08-29 21:06:00,2023-08-30 16:06:00,Доставлено,353,349.05
32,35,9,"с. Кыштым, ш. Поперечное, д. 8/1 к. 29, 461186",Грузовик,ЛогистикПро,2023-09-13 23:32:00,2023-09-16 05:32:00,Доставлено,954,1020.07
33,37,1,"ст. Кингисепп, ш. Сенное, д. 9 стр. 7/1, 706424",Авиа,ЛогистикПро,2023-09-09 23:34:00,2023-09-12 10:34:00,Доставлено,163,148.75
34,38,5,"ст. Красноселькуп, ул. Заовражная, д. 3 стр. 9, 043775",ЖД,ТрансЛогистик,2023-11-18 09:16:00,2023-11-19 04:16:00,Доставлено,101,188.66
35,39,10,"д. Ноглики, ул. Минская, д. 442, 974580",Авиа,ЛогистикПро,2023-03-29 21:34:00,2023-04-01 01:34:00,Доставлено,703,553.84
36,40,6,"с. Зеленоград, бул. Молодежный, д. 6/7, 242563",Авиа,ЭкспрессДоставка,2023-12-18 20:28:00,2023-12-20 07:28:00,Доставлено,336,511.73
37,41,1,"д. Валдай, бул. Монтажников, д. 1/1 стр. 78, 118651",Морской,ЛогистикПро,2023-04-29 21:15:00,2023-05-01 15:15:00,Доставлено,857,990.35
38,42,3,"клх Химки, ш. Энтузиастов, д. 7/4 к. 3/3, 048971",ЖД,ЭкспрессДоставка,2023-10-06 23:20:00,2023-10-07 20:20:00,Доставлено,665,1313.93
39,43,3,"к. Ноябрьск, пр. Спортивный, д. 6 к. 50, 440216",Авиа,ЛогистикПро,2023-06-23 11:36:00,2023-06-26 01:36:00,Доставлено,420,715.64
40,44,1,"д. Руза, бул. Харьковский, д. 9/9 стр. 62, 540470",Грузовик,ЛогистикПро,2023-09-11 03:37:00,2023-09-12 11:37:00,Доставлено,837,539.42
41,45,6,"к. Радужный, пр. Фестивальный, д. 8 стр. 97, 444295",ЖД,ТрансЛогистик,2023-07-26 23:59:00,2023-07-28 00:59:00,Доставлено,279,524.95
42,46,3,"п. Кижи, ул. Тополиная, д. 6 стр. 80, 514161",Грузовик,ЛогистикПро,2023-09-03 01:03:00,2023-09-04 20:03:00,Доставлено,98,147.91
43,48,9,"к. Усть-Ордынский, бул. Карьерный, д. 5/5, 536821",Морской,ТрансЛогистик,2023-07-06 05:24:00,2023-07-06 17:24:00,Доставлено,483,778.31
44,49,6,"ст. Ульяновск, пер. Жукова, д. 2/9 к. 61, 810556",Морской,ЭкспрессДоставка,2023-02-13 22:53:00,2023-02-16 11:53:00,Доставлено,620,573.64
45,51,6,"г. Елатьма, наб. Мелиораторов, д. 160 стр. 6, 360879",ЖД,ЭкспрессДоставка,2023-02-14 14:43:00,2023-02-14 22:43:00,Доставлено,211,112.92
46,52,7,"к. Йошкар-Ола, наб. Бабушкина, д. 1/4 стр. 701, 572289",Грузовик,ЭкспрессДоставка,2023-06-21 19:28:00,2023-06-22 06:28:00,Доставлено,199,368.95
47,53,4,"п. Луховицы, бул. Лунный, д. 6/8 стр. 1/1, 643212",Авиа,ЛогистикПро,2023-07-27 20:09:00,2023-07-28 00:09:00,Доставлено,680,984.03
48,54,7,"п. Ростов-на-Дону, пер. Водопроводный, д. 1 стр. 205, 864774",ЖД,ЛогистикПро,2023-02-07 19:08:00,2023-02-08 04:08:00,Доставлено,720,1046.46
49,56,9,"ст. Балтийск, ул. Баумана, д. 7 стр. 7/9, 259934",Грузовик,ЭкспрессДоставка,2023-05-01 15:39:00,2023-05-01 22:39:00,Доставлено,771,777.47
50,57,1,"ст. Пушкин, ш. 60 лет СССР, д. 817 стр. 4, 877775",ЖД,ЭкспрессДоставка,2023-10-07 03:10:00,2023-10-08 08:10:00,Доставлено,210,255.97
51,58,4,"г. Тулун, алл. Дальняя, д. 7, 746129",ЖД,ЛогистикПро,2023-06-19 03:38:00,2023-06-22 00:38:00,Доставлено,448,880.05
52,59,6,"ст. Гремячинск (Перм.), ул. Луговая, д. 131, 126765",ЖД,ЛогистикПро,2023-11-04 01:44:00,2023-11-05 14:44:00,Доставлено,449,592.61
53,60,1,"ст. Александров Гай, наб. Ставропольская, д. 98 стр. 57, 670633",ЖД,ТрансЛогистик,2023-11-28 06:19:00,2023-11-28 22:19:00,Доставлено,137,144.32
54,61,5,"п. Котлас, бул. Жуковского, д. 5, 898644",Грузовик,ЛогистикПро,2023-11-09 17:35:00,2023-11-11 10:35:00,Доставлено,201,175.67
55,62,1,"с. Тюмень, наб. Ульяновская, д. 79, 024698",Авиа,ТрансЛогистик,2023-05-26 14:28:00,2023-05-27 10:28:00,Доставлено,450,894.94
56,63,2,"к. Тимашевск, пр. Советский, д. 170 к. 170, 721923",Грузовик,ТрансЛогистик,2023-01-20 00:41:00,2023-01-22 14:41:00,Доставлено,210,404.85
57,64,3,"к. Верхотурье, ул. Народная, д. 2/9 к. 39, 755382",Морской,ЭкспрессДоставка,2023-07-02 07:15:00,2023-07-05 06:15:00,Доставлено,561,1113.59
58,65,9,"п. Моздок, ул. Радужная, д. 277, 386752",Грузовик,ЛогистикПро,2023-08-18 14:30:00,2023-08-18 16:30:00,Доставлено,831,1554.25
59,66,4,"клх Урюпинск, ш. Одесское, д. 18 стр. 7, 534343",Грузовик,ТрансЛогистик,2023-01-14 21:28:00,2023-01-15 20:28:00,Доставлено,532,984.69
60,67,9,"к. Сладково, пер. Маркса, д. 4 к. 7/3, 744651",Авиа,ЭкспрессДоставка,2023-02-09 20:04:00,2023-02-10 21:04:00,Доставлено,630,1122.65
61,68,6,"п. Александров, пр. Степана Разина, д. 566, 547012",Авиа,ЭкспрессДоставка,2023-11-09 22:31:00,2023-11-11 22:31:00,Доставлено,450,698.36
62,69,2,"ст. Казань, бул. Тупиковый, д. 739 стр. 368, 555342",ЖД,ЛогистикПро,2023-11-16 21:58:00,2023-11-19 12:58:00,Доставлено,722,1325.28
63,70,3,"д. Назрань, наб. Тамбовская, д. 191, 574233",Грузовик,ТрансЛогистик,2023-03-20 08:20:00,2023-03-21 03:20:00,Доставлено,944,498.94
64,71,2,"с. Майкоп, наб. Славянская, д. 3/7, 974946",Грузовик,ЭкспрессДоставка,2023-09-11 01:02:00,2023-09-12 13:02:00,Доставлено,591,675.85
65,72,3,"д. Усть-Илимск, пер. Фестивальный, д. 4/9 стр. 89, 760315",ЖД,ТрансЛогистик,2023-12-15 17:00:00,2023-12-17 19:00:00,Доставлено,772,706.33
66,73,6,"к. Агинское (Забайк.), пр. Тупиковый, д. 44 к. 4, 437909",Авиа,ЛогистикПро,2023-12-16 21:50:00,2023-12-19 00:50:00,Доставлено,525,320.97
67,74,9,"п. Егорьевск, пер. Абрикосовый, д. 99, 823381",Грузовик,ЛогистикПро,2023-01-28 02:17:00,2023-01-30 22:17:00,Доставлено,876,586.26
68,75,1,"г. Мирный, алл. Грибоедова, д. 7 стр. 7, 800385",Морской,ЛогистикПро,2023-07-19 14:46:00,2023-07-21 10:46:00,Доставлено,186,229.4
69,76,2,"г. Котельнич, бул. Городской, д. 2 стр. 8/8, 648500",Морской,ЛогистикПро,2023-12-18 16:36:00,2023-12-20 18:36:00,Доставлено,858,475.36
70,77,3,"клх Аршан (Бурят.), наб. Казанская, д. 1 к. 7, 252447",Авиа,ТрансЛогистик,2023-12-11 05:10:00,2023-12-12 14:10:00,Доставлено,325,430.84
71,78,2,"г. Избербаш, алл. Октября, д. 2, 672746",Авиа,ТрансЛогистик,2023-06-25 16:17:00,2023-06-26 16:17:00,Доставлено,236,140.16
72,79,10,"ст. Шенкурск, ш. Космическое, д. 903 к. 506, 807589",Морской,ЭкспрессДоставка,2023-09-26 16:29:00,2023-09-27 18:29:00,Доставлено,240,192.15
73,81,8,"ст. Канск, алл. Огородная, д. 7 к. 5, 836664",Морской,ЭкспрессДоставка,2023-04-06 23:15:00,2023-04-08 03:15:00,Доставлено,322,402.23
74,82,10,"клх Камышлов, бул. Ударный, д. 9, 243827",Грузовик,ЭкспрессДоставка,2023-07-20 10:55:00,2023-07-20 12:55:00,Доставлено,159,125.54
75,83,3,"ст. Дербент, бул. Казанский, д. 630 к. 59, 270628",Грузовик,ТрансЛогистик,2023-06-24 15:10:00,2023-06-26 07:10:00,Доставлено,715,444.34
76,84,4,"г. Воткинск, пер. Угловой, д. 7, 136752",Авиа,ЭкспрессДоставка,2023-12-17 23:58:00,2023-12-20 18:58:00,Доставлено,927,758.24
77,86,8,"к. Кимры, пер. Краснознаменный, д. 71, 356335",Грузовик,ЭкспрессДоставка,2023-06-25 16:10:00,2023-06-25 18:10:00,Доставлено,927,1576.64
78,87,2,"ст. Калуга, ш. Воровского, д. 4 к. 680, 663616",Грузовик,ТрансЛогистик,2023-07-26 20:14:00,2023-07-28 22:14:00,Доставлено,512,583.98
79,88,2,"д. Талдом, бул. Разина, д. 3/4 к. 61, 796480",ЖД,ТрансЛогистик,2023-09-29 23:50:00,2023-09-30 13:50:00,Доставлено,826,448.48
80,89,1,"к. Наро-Фоминск, пер. Железнодорожный, д. 1 стр. 37, 471094",Грузовик,ЭкспрессДоставка,2023-04-25 20:06:00,2023-04-27 20:06:00,Доставлено,921,1440.84
81,90,2,"п. Советский, наб. Титова, д. 686 к. 787, 958803",Морской,ЭкспрессДоставка,2023-07-09 15:01:00,2023-07-09 17:01:00,Доставлено,994,1348.4
82,91,5,"с. Ангарск, ш. Журавлева, д. 9/8 стр. 151, 666581",Грузовик,ЭкспрессДоставка,2023-07-17 22:20:00,2023-07-19 17:20:00,Доставлено,92,86.95
83,94,5,"д. Россошь, наб. 9 Января, д. 695 к. 377, 789922",Морской,ЛогистикПро,2023-12-12 21:52:00,2023-12-14 20:52:00,Доставлено,329,527.98
84,95,2,"п. Ейск, бул. Придорожный, д. 3, 079145",Морской,ТрансЛогистик,2023-02-27 18:38:00,2023-03-01 06:38:00,Доставлено,968,1300.29
85,96,3,"г. Уэлен, ул. Портовая, д. 4 стр. 68, 464506",Авиа,ЭкспрессДоставка,2023-01-25 07:33:00,2023-01-27 22:33:00,Доставлено,174,281.88
86,97,1,"клх Воркута, ул. Геологическая, д. 540 к. 156, 518855",Авиа,ЭкспрессДоставка,2023-05-18 06:05:00,2023-05-20 13:05:00,Доставлено,188,222.47
87,98,4,"клх Усть-Кут, наб. Мая 1, д. 577 стр. 365, 793343",Морской,ЛогистикПро,2023-07-21 11:05:00,2023-07-21 19:05:00,Доставлено,305,177.13
88,99,1,"д. Бирск, бул. Орловский, д. 2, 883172",Морской,ЛогистикПро,2023-08-21 08:20:00,2023-08-23 18:20:00,Доставлено,83,42.88
89,100,8,"д. Заводоуковск, алл. Березовая, д. 1 к. 7/6, 053733",Морской,ЛогистикПро,2023-02-24 11:46:00,2023-02-25 14:46:00,Доставлено,686,1112.88
90,102,4,"клх Ухта, бул. 30 лет Победы, д. 6/9, 631977",Авиа,ТрансЛогистик,2023-09-26 07:15:00,2023-09-28 20:15:00,Доставлено,671,595.38
91,103,3,"п. Камышлов, пр. Средний, д. 468 к. 3, 598135",Грузовик,ЭкспрессДоставка,2023-06-12 03:01:00,2023-06-14 04:01:00,Доставлено,92,102.62
92,104,8,"п. Невельск, пер. Клубный, д. 7/5 стр. 4/9, 871431",Грузовик,ТрансЛогистик,2023-03-19 03:55:00,2023-03-19 18:55:00,Доставлено,107,181.59
93,105,2,"д. Апшеронск, ш. Краснопартизанское, д. 6/6 стр. 26, 527917",ЖД,ЛогистикПро,2023-02-14 02:49:00,2023-02-14 11:49:00,Доставлено,820,587.14
94,106,9,"с. Кедровый, ш. ДОС, д. 6 к. 8, 217277",ЖД,ТрансЛогистик,2023-08-22 14:39:00,2023-08-24 11:39:00,Доставлено,749,832.86
95,107,2,"г. Кандалакша, пр. Фрунзе, д. 6/5, 479611",ЖД,ЛогистикПро,2023-12-23 23:33:00,2023-12-25 05:33:00,Доставлено,836,874.33
96,108,5,"к. Смоленск, ул. Пионерская, д. 685 стр. 325, 454853",Грузовик,ТрансЛогистик,2023-11-07 01:53:00,2023-11-09 18:53:00,Доставлено,600,876.34
97,109,6,"к. Балашов, ш. Ясное, д. 83 стр. 94, 795222",Авиа,ЛогистикПро,2023-01-04 09:23:00,2023-01-05 14:23:00,Доставлено,970,583.68
98,111,10,"д. Терней, пр. Морозова, д. 8 к. 37, 133030",Грузовик,ТрансЛогистик,2023-03-25 05:59:00,2023-03-26 01:59:00,Доставлено,52,53.59
99,112,3,"г. Чикола, бул. Светлый, д. 908 стр. 16, 081971",ЖД,ТрансЛогистик,2023-08-02 03:20:00,2023-08-02 21:20:00,Доставлено,499,309.74
100,113,4,"ст. Одинцово, пер. Гончарова, д. 48 стр. 196, 178604",Грузовик,ТрансЛогистик,2023-08-19 18:28:00,2023-08-21 10:28:00,Доставлено,842,905.62
101,114,3,"ст. Сергиев Посад, ш. Смирнова, д. 5 стр. 66, 677247",Авиа,ЭкспрессДоставка,2023-03-27 06:31:00,2023-03-27 16:31:00,Доставлено,875,531.46
102,115,3,"ст. Белый Яр (Томск.), пер. Боровой, д. 1/3, 538209",Грузовик,ЭкспрессДоставка,2023-12-09 12:34:00,2023-12-10 01:34:00,Доставлено,739,1397.34
103,116,8,"с. Солнечногорск, пер. Коммунистический, д. 4/5 стр. 6/3, 373489",Грузовик,ЭкспрессДоставка,2023-07-06 14:50:00,2023-07-09 14:50:00,Доставлено,138,256.64
104,117,2,"г. Усть-Катав, пр. Поперечный, д. 4/6 стр. 6/1, 470764",Морской,ЭкспрессДоставка,2023-04-02 20:08:00,2023-04-05 08:08:00,Доставлено,757,697.89
105,118,4,"ст. Переславль-Залесский, алл. Чайкиной, д. 791, 323412",Морской,ТрансЛогистик,2023-02-13 02:27:00,2023-02-13 18:27:00,Доставлено,973,1449.06
106,119,10,"ст. Белогорск (Амур.), алл. Прохладная, д. 29 стр. 1/9, 874004",Авиа,ЭкспрессДоставка,2023-03-11 04:56:00,2023-03-11 14:56:00,Доставлено,759,1336.03
107,120,4,"г. Обнинск, наб. Высоцкого, д. 39 к. 4, 277033",Морской,ЛогистикПро,2023-03-21 13:23:00,2023-03-22 01:23:00,Доставлено,680,538.78
108,121,3,"г. Грозный, алл. Партизанская, д. 73, 137751",Авиа,ЭкспрессДоставка,2023-02-07 12:08:00,2023-02-09 18:08:00,Доставлено,895,1513.58
109,123,6,"п. Калач, пер. Докучаева, д. 546, 848408",Морской,ЛогистикПро,2023-06-24 18:02:00,2023-06-27 08:02:00,Доставлено,227,263.9
110,124,5,"г. Южно-Курильск, наб. Васильковая, д. 64 к. 6, 863531",Морской,ТрансЛогистик,2023-11-21 23:27:00,2023-11-22 15:27:00,Доставлено,883,603.96
111,125,9,"п. Сасово, пер. Краснопартизанский, д. 40 к. 645, 720281",ЖД,ЛогистикПро,2023-12-16 04:18:00,2023-12-18 19:18:00,Доставлено,616,467.26
112,126,6,"г. Челябинск, бул. Островского, д. 809 стр. 32, 339327",ЖД,ЛогистикПро,2023-09-24 21:39:00,2023-09-26 03:39:00,Доставлено,285,150.11
113,127,6,"к. Голицыно, бул. Орловский, д. 285 к. 291, 968910",Грузовик,ЛогистикПро,2023-10-29 00:45:00,2023-10-31 02:45:00,Доставлено,172,191.49
114,128,8,"ст. Самара, алл. Просторная, д. 6 стр. 6/8, 006915",ЖД,ТрансЛогистик,2023-09-14 03:59:00,2023-09-15 01:59:00,Доставлено,472,403.85
115,129,4,"с. Александровск, наб. Коммунистическая, д. 13, 175940",Авиа,ТрансЛогистик,2023-08-19 01:50:00,2023-08-21 12:50:00,Доставлено,248,300.5
116,131,6,"п. Гаврилов-Ям, наб. Мичурина, д. 729 к. 6/8, 272111",Авиа,ЛогистикПро,2023-07-07 18:47:00,2023-07-09 11:47:00,Доставлено,905,1667.15
117,132,7,"с. Омск, наб. Лазо, д. 4/5, 171042",Морской,ЛогистикПро,2023-05-28 11:04:00,2023-05-29 20:04:00,Доставлено,63,68.73
118,133,5,"ст. Моршанск, бул. Водников, д. 880 стр. 93, 813146",Морской,ЭкспрессДоставка,2023-03-31 01:34:00,2023-04-02 13:34:00,Доставлено,616,1054.87
119,134,6,"с. Шатура, ул. Снежная, д. 2 к. 700, 690793",Авиа,ЛогистикПро,2023-04-08 07:08:00,2023-04-10 17:08:00,Доставлено,789,621.53
120,135,7,"г. Набережные Челны, пр. Панфилова, д. 11 к. 6, 999661",Авиа,ТрансЛогистик,2023-11-27 02:40:00,2023-11-28 15:40:00,Доставлено,730,805.37
121,136,5,"клх Туапсе, алл. Красногвардейская, д. 43 стр. 2/7, 326898",ЖД,ТрансЛогистик,2023-01-31 14:47:00,2023-02-01 12:47:00,Доставлено,852,709.91
122,137,5,"клх Выборг, пр. Репина, д. 474, 097618",Грузовик,ТрансЛогистик,2023-09-24 08:26:00,2023-09-24 09:26:00,Доставлено,658,659.13
123,138,10,"г. Кырен, алл. Проезжая, д. 13 стр. 6, 417562",ЖД,ЭкспрессДоставка,2023-03-23 09:45:00,2023-03-26 05:45:00,Доставлено,430,836.51
124,139,2,"к. Сковородино, ш. Грибоедова, д. 17, 496033",Авиа,ТрансЛогистик,2023-06-26 03:34:00,2023-06-28 01:34:00,Доставлено,205,236.43
125,140,3,"к. Кущевская, ул. Поселковая, д. 2/5 к. 1/1, 648237",ЖД,ТрансЛогистик,2023-07-26 19:45:00,2023-07-27 16:45:00,Доставлено,454,252.5
126,141,5,"п. Наро-Фоминск, наб. Совхозная, д. 44, 611957",Морской,ТрансЛогистик,2023-04-01 06:57:00,2023-04-02 11:57:00,Доставлено,395,692.3
127,142,7,"г. Токсово, алл. Панфилова, д. 7 к. 304, 203482",ЖД,ЭкспрессДоставка,2023-08-26 12:16:00,2023-08-29 05:16:00,Доставлено,286,537.34
128,143,9,"г. Торжок, пр. Комарова, д. 3/9, 895842",Авиа,ЭкспрессДоставка,2023-09-05 06:24:00,2023-09-05 14:24:00,Доставлено,6,8.06
129,145,3,"г. Джейрах, ш. Смирнова, д. 9/3, 908442",Грузовик,ТрансЛогистик,2023-07-15 23:35:00,2023-07-18 04:35:00,Доставлено,133,229.41
130,146,2,"клх Ростов, наб. Почтовая, д. 8, 645476",Грузовик,ЛогистикПро,2023-07-20 02:35:00,2023-07-20 07:35:00,Доставлено,37,59.16
131,147,8,"г. Апатиты, наб. Р.Люксембург, д. 8, 951609",Авиа,ТрансЛогистик,2023-03-04 00:30:00,2023-03-06 03:30:00,Доставлено,348,418.47
132,148,8,"ст. Печенга, наб. Черноморская, д. 1, 810582",Морской,ЛогистикПро,2023-08-24 00:13:00,2023-08-24 05:13:00,Доставлено,197,128.37
133,149,4,"г. Всеволожск, наб. Геологическая, д. 161, 079254",Грузовик,ЛогистикПро,2023-04-22 19:41:00,2023-04-23 10:41:00,Доставлено,766,907.24
134,152,3,"к. Чикола, наб. Выгонная, д. 817, 801895",Авиа,ЭкспрессДоставка,2023-07-30 07:06:00,2023-07-31 13:06:00,Доставлено,531,530.3
135,153,3,"г. Мурманск, ш. Дачное, д. 3/1, 874821",Морской,ЭкспрессДоставка,2023-12-03 23:04:00,2023-12-05 09:04:00,Доставлено,480,944.78
136,154,3,"г. Ноябрьск, наб. Фабричная, д. 6 стр. 99, 537860",Авиа,ЭкспрессДоставка,2023-10-11 18:09:00,2023-10-13 20:09:00,Доставлено,947,755.68
137,155,10,"д. Токма, алл. Дачная, д. 4 к. 5, 106078",Авиа,ТрансЛогистик,2023-06-16 23:23:00,2023-06-18 12:23:00,Доставлено,310,237.97
138,156,1,"д. Владикавказ, наб. Дарвина, д. 286, 118885",Грузовик,ЭкспрессДоставка,2023-06-13 21:19:00,2023-06-15 09:19:00,Доставлено,309,287.82
139,157,2,"к. Туруханск, бул. Просвещения, д. 8, 749885",Авиа,ТрансЛогистик,2023-03-04 17:46:00,2023-03-04 23:46:00,Доставлено,530,886.4
140,158,8,"ст. Снежинск, ул. Степана Разина, д. 1/7, 505629",ЖД,ЛогистикПро,2023-04-23 07:51:00,2023-04-24 02:51:00,Доставлено,42,76.83
141,159,10,"г. Апатиты, ул. Авиационная, д. 3 стр. 192, 568246",Авиа,ТрансЛогистик,2023-05-07 04:36:00,2023-05-09 14:36:00,Доставлено,217,330.09
142,160,2,"клх Каспийск, наб. Серафимовича, д. 1/8 к. 21, 376102",Грузовик,ТрансЛогистик,2023-05-10 19:51:00,2023-05-13 13:51:00,Доставлено,319,574.5
143,161,2,"к. Нарткала, ул. Песочная, д. 74 стр. 5, 209310",Авиа,ЛогистикПро,2023-04-03 19:38:00,2023-04-04 09:38:00,Доставлено,967,1213.8
144,162,7,"д. Петропавловск-Камчатский, ш. Папанина, д. 21, 435414",Морской,ЭкспрессДоставка,2023-01-02 06:36:00,2023-01-03 19:36:00,Доставлено,759,418.01
145,163,4,"с. Касимов, ш. Пионерское, д. 358 стр. 9/2, 434650",Морской,ЭкспрессДоставка,2023-02-05 06:03:00,2023-02-06 04:03:00,Доставлено,639,1135.03
146,164,2,"клх Малая Вишера, ул. Базарная, д. 5 к. 72, 622428",Авиа,ТрансЛогистик,2023-12-08 21:29:00,2023-12-09 11:29:00,Доставлено,438,516.3
147,165,1,"клх Сыктывкар, пр. Ленина, д. 16 к. 272, 002504",Морской,ЛогистикПро,2023-02-27 10:31:00,2023-02-28 20:31:00,Доставлено,297,254.91
148,166,6,"с. Кириши, пер. Матросова, д. 3, 149074",ЖД,ЛогистикПро,2023-10-24 19:58:00,2023-10-26 00:58:00,Доставлено,599,707.14
149,167,8,"с. Внуково (метеост.), наб. Осипенко, д. 6/7 стр. 249, 999133",Авиа,ЛогистикПро,2023-03-08 05:01:00,2023-03-11 05:01:00,Доставлено,510,272.42
150,168,10,"к. Устюжна, алл. Достоевского, д. 2 к. 7, 655291",Грузовик,ЭкспрессДоставка,2023-07-06 15:46:00,2023-07-08 13:46:00,Доставлено,244,363.27
151,169,5,"п. Вологда, пер. Полевой, д. 7/2 стр. 2, 411645",Авиа,ЛогистикПро,2023-03-30 05:56:00,2023-03-30 11:56:00,Доставлено,471,659.22
152,170,9,"к. Арзамас, бул. Надежды, д. 646, 679848",Грузовик,ЛогистикПро,2023-10-11 17:38:00,2023-10-14 12:38:00,Доставлено,858,639.06
