customer_id,customer_name,customer_type,segment,city,region
28,Вероника Дмитриевна Авдеева,Физическое лицо,B2C,Владивосток,Дальневосточный
29,Кудряшов Устин Харлампович,Физическое лицо,B2C,Нижний Новгород,Центральный
30,Галина Никифоровна Кононова,Физическое лицо,B2B,Краснодар,Южный
31,Русаков Зосима Фомич,Физическое лицо,B2C,Нижний Новгород,Центральный
32,"ООО «Харитонов, Воронцова и Карпов»",Юридическое лицо,B2B,Краснодар,Южный
33,Колесникова Нинель Викторовна,Физическое лицо,B2C,Краснодар,Южный
34,"АО «Исаков, Дмитриев и Шестаков»",Юридическое лицо,B2B,Калининград,Северо-Западный
35,Воронцов Лука Глебович,Физическое лицо,B2C,Калининград,Северо-Западный
36,ЗАО «Быкова»,Юридическое лицо,B2C,Сочи,Южный
37,Лаврентьев Групп,Юридическое лицо,B2C,Новосибирск,Сибирский
38,Наталья Эдуардовна Шарова,Физическое лицо,B2B,Москва,Центральный
39,Куликов Остап Валерьянович,Физическое лицо,B2C,Новосибирск,Сибирский
40,Агата Вадимовна Сидорова,Физическое лицо,B2C,Казань,Приволжский
41,Куликов Платон Андреевич,Физическое лицо,B2C,Краснодар,Южный
42,Серафим Владленович Богданов,Физическое лицо,B2B,Сочи,Южный
43,Творимир Ярославович Рогов,Физическое лицо,B2C,Санкт-Петербург,Северо-Западный
44,Ширяева Алла Альбертовна,Физическое лицо,B2C,Владивосток,Дальневосточный
45,Фортунат Гордеевич Агафонов,Физическое лицо,B2C,Екатеринбург,Уральский
46,Любим Фёдорович Шашков,Физическое лицо,B2C,Новосибирск,Сибирский
47,Алла Аскольдовна Исаева,Физическое лицо,B2C,Краснодар,Южный
48,Кудряшова Анастасия Павловна,Физическое лицо,B2C,Москва,Центральный
49,Лобанов Станимир Фадеевич,Физическое лицо,VIP,Москва,Центральный
50,Милица Богдановна Козлова,Физическое лицо,B2C,Екатеринбург,Уральский
51,Евстафий Венедиктович Мухин,Физическое лицо,B2B,Калининград,Северо-Западный
52,Никифоров Федосий Владиславович,Физическое лицо,B2C,Новосибирск,Сибирский
53,Устинов Евгений Бориславович,Физическое лицо,B2C,Екатеринбург,Уральский
54,Михаил Яковлевич Зимин,Физическое лицо,B2B,Казань,Приволжский
55,Агафонов Устин Власович,Физическое лицо,B2B,Москва,Центральный
56,Эммануил Ярославович Воробьев,Физическое лицо,B2C,Санкт-Петербург,Северо-Западный
57,"НПО «Сидорова, Дмитриев и Тихонов»",Юридическое лицо,B2C,Краснодар,Южный
58,Савин Венедикт Арсеньевич,Физическое лицо,B2C,Калининград,Северо-Западный
59,Воробьев Владилен Яковлевич,Физическое лицо,B2C,Казань,Приволжский
60,Тимофеева Лукия Никифоровна,Физическое лицо,VIP,Владивосток,Дальневосточный
61,Балтийская топливная компания,Юридическое лицо,VIP,Санкт-Петербург,Северо-Западный
62,Селиверст Владленович Павлов,Физическое лицо,B2C,Новосибирск,Сибирский
63,г-жа Кононова Фёкла Валентиновна,Физическое лицо,B2C,Новосибирск,Сибирский
64,ВО Промсырьеимпорт,Юридическое лицо,B2B,Екатеринбург,Уральский
65,Назарова Ия Болеславовна,Физическое лицо,B2C,Нижний Новгород,Центральный
66,Януарий Гаврилович Доронин,Физическое лицо,B2C,Екатеринбург,Уральский
67,ОАО «Беляков-Федорова»,Юридическое лицо,B2C,Сочи,Южный
68,Уварова Кира Игоревна,Физическое лицо,B2C,Екатеринбург,Уральский
69,Щукин Кондрат Елисеевич,Физическое лицо,B2C,Санкт-Петербург,Северо-Западный
70,Ия Робертовна Михеева,Физическое лицо,B2B,Владивосток,Дальневосточный
71,Орехова Мария Анатольевна,Физическое лицо,B2C,Краснодар,Южный
72,Елисеев Касьян Анатольевич,Физическое лицо,VIP,Краснодар,Южный
73,г-жа Колобова Евфросиния Анатольевна,Физическое лицо,VIP,Казань,Приволжский
74,ИП «Дьячков Денисов»,Юридическое лицо,B2C,Сочи,Южный
75,Маслова Надежда Андреевна,Физическое лицо,B2C,Калининград,Северо-Западный
76,Элеонора Артемовна Панова,Физическое лицо,B2C,Казань,Приволжский
77,Харитонова Лариса Георгиевна,Физическое лицо,B2C,Владивосток,Дальневосточный
78,Кириллова Светлана Афанасьевна,Физическое лицо,B2C,Калининград,Северо-Западный
79,Калашников Петр Арсенович,Физическое лицо,B2B,Санкт-Петербург,Северо-Западный
80,Бобылев Карп Фёдорович,Физическое лицо,B2C,Владивосток,Дальневосточный
81,Феофан Теймуразович Исаев,Физическое лицо,VIP,Москва,Центральный
82,Брагина Прасковья Руслановна,Физическое лицо,B2B,Екатеринбург,Уральский
83,Михаил Алексеевич Сергеев,Физическое лицо,B2C,Сочи,Южный
84,ЗАО «Мамонтова-Шашков»,Юридическое лицо,B2C,Казань,Приволжский
85,Совкомфлот,Юридическое лицо,B2C,Сочи,Южный
86,Никитин Мстислав Афанасьевич,Физическое лицо,B2B,Владивосток,Дальневосточный
87,Харитонова Ольга Мироновна,Физическое лицо,B2C,Казань,Приволжский
88,Сидор Юлианович Журавлев,Физическое лицо,B2C,Новосибирск,Сибирский
89,Наумов Харитон Фадеевич,Физическое лицо,B2C,Москва,Центральный
90,Ольга Робертовна Блохина,Физическое лицо,B2C,Санкт-Петербург,Северо-Западный
91,София Кузьминична Комарова,Физическое лицо,B2C,Новосибирск,Сибирский
92,Суханов Адам Вилорович,Физическое лицо,B2B,Краснодар,Южный
93,ОАО «Селезнев-Вишняков»,Юридическое лицо,B2C,Краснодар,Южный
94,Михеева Алевтина Кузьминична,Физическое лицо,VIP,Калининград,Северо-Западный
95,АО «Наумова Зуева»,Юридическое лицо,B2C,Новосибирск,Сибирский
96,Ия Романовна Яковлева,Физическое лицо,B2B,Санкт-Петербург,Северо-Западный
97,Шубина Синклитикия Харитоновна,Физическое лицо,B2C,Казань,Приволжский
98,АО «Николаев Давыдов»,Юридическое лицо,B2C,Нижний Новгород,Центральный
99,Зыков Конон Анисимович,Физическое лицо,B2C,Нижний Новгород,Центральный
100,Фокин Геннадий Зиновьевич,Физическое лицо,B2C,Сочи,Южный
101,Красильникова Инк,Юридическое лицо,B2C,Владивосток,Дальневосточный
102,Некрасов Федосий Исидорович,Физическое лицо,VIP,Сочи,Южный
103,Авксентий Виленович Селезнев,Физическое лицо,B2B,Санкт-Петербург,Северо-Западный
104,Руслан Филиппович Титов,Физическое лицо,B2C,Нижний Новгород,Центральный
105,Афанасий Бенедиктович Игнатов,Физическое лицо,B2C,Краснодар,Южный
106,Щербакова Прасковья Ильинична,Физическое лицо,B2C,Сочи,Южный
107,Захар Исидорович Ефремов,Физическое лицо,B2C,Краснодар,Южный
108,АО «Туров-Козлова»,Юридическое лицо,B2C,Владивосток,Дальневосточный
109,Любосмысл Авдеевич Борисов,Физическое лицо,B2C,Екатеринбург,Уральский
110,Зайцев Инкорпорэйтед,Юридическое лицо,B2C,Владивосток,Дальневосточный
111,Нинель Леонидовна Колобова,Физическое лицо,B2C,Владивосток,Дальневосточный
112,ИП «Тетерин»,Юридическое лицо,B2C,Краснодар,Южный
113,РАО «Корнилова-Уварова»,Юридическое лицо,B2C,Калининград,Северо-Западный
114,Давыдова Анастасия Викторовна,Физическое лицо,B2C,Новосибирск,Сибирский
115,РАО «Емельянова»,Юридическое лицо,B2B,Краснодар,Южный
116,Любовь Аркадьевна Нестерова,Физическое лицо,B2C,Владивосток,Дальневосточный
117,НПО «Титов»,Юридическое лицо,B2C,Санкт-Петербург,Северо-Западный
118,Анатолий Анатольевич Корнилов,Физическое лицо,B2C,Санкт-Петербург,Северо-Западный
119,Алина Леоновна Зуева,Физическое лицо,B2B,Калининград,Северо-Западный
120,Воробьева Алина Альбертовна,Физическое лицо,B2C,Новосибирск,Сибирский
121,Селезнева Маргарита Валериевна,Физическое лицо,VIP,Владивосток,Дальневосточный
122,Емельянов Групп,Юридическое лицо,VIP,Новосибирск,Сибирский
123,Емельян Ааронович Красильников,Физическое лицо,B2C,Екатеринбург,Уральский
124,Фёкла Григорьевна Трофимова,Физическое лицо,B2C,Екатеринбург,Уральский
125,Агафонова Глафира Романовна,Физическое лицо,VIP,Казань,Приволжский
126,Зоя Александровна Галкина,Физическое лицо,B2C,Калининград,Северо-Западный
127,ТЭК СПБ,Юридическое лицо,B2C,Сочи,Южный
128,Егорова Евфросиния Мироновна,Физическое лицо,B2C,Краснодар,Южный
129,Некрасова Акулина Тимофеевна,Физическое лицо,B2C,Калининград,Северо-Западный
130,Марина Григорьевна Гордеева,Физическое лицо,B2C,Краснодар,Южный
131,Данилов Феофан Абрамович,Физическое лицо,B2C,Калининград,Северо-Западный
132,тов. Макарова Акулина Афанасьевна,Физическое лицо,B2C,Екатеринбург,Уральский
133,Дмитриева Ирина Михайловна,Физическое лицо,B2B,Владивосток,Дальневосточный
134,Кондрат Авдеевич Осипов,Физическое лицо,B2B,Владивосток,Дальневосточный
135,Акулина Святославовна Пахомова,Физическое лицо,B2C,Нижний Новгород,Центральный
136,Орлов Прокофий Валерьянович,Физическое лицо,B2B,Калининград,Северо-Западный
137,Бурова Лидия Никифоровна,Физическое лицо,B2C,Екатеринбург,Уральский
138,Раиса Эдуардовна Крюкова,Физическое лицо,B2C,Санкт-Петербург,Северо-Западный
139,Артемьева Полина Борисовна,Физическое лицо,B2C,Нижний Новгород,Центральный
140,Новикова Милица Вадимовна,Физическое лицо,B2B,Нижний Новгород,Центральный
141,Потапов Фома Фролович,Физическое лицо,B2C,Владивосток,Дальневосточный
142,Беспалов Потап Харитонович,Физическое лицо,B2C,Казань,Приволжский
143,Фокин Данила Фомич,Физическое лицо,B2C,Санкт-Петербург,Северо-Западный
144,Пантелеймон Данилович Кулаков,Физическое лицо,B2B,Санкт-Петербург,Северо-Западный
145,Марфа Тимофеевна Голубева,Физическое лицо,B2B,Казань,Приволжский
146,Беляев Герасим Дмитриевич,Физическое лицо,B2C,Казань,Приволжский
147,БАСФ (BASF),Юридическое лицо,B2C,Владивосток,Дальневосточный
148,ЗАО «Матвеев-Рожков»,Юридическое лицо,B2C,Сочи,Южный
149,"ИП «Яковлев, Суворов и Борисова»",Юридическое лицо,B2C,Владивосток,Дальневосточный
150,Василий Владленович Русаков,Физическое лицо,B2C,Екатеринбург,Уральский
151,ЕвроСибЭнерго,Юридическое лицо,B2C,Калининград,Северо-Западный
152,Клавдий Федосеевич Беспалов,Физическое лицо,VIP,Нижний Новгород,Центральный
153,Горшков Иван Анатольевич,Физическое лицо,B2C,Екатеринбург,Уральский
154,Филиппова Олимпиада Ильинична,Физическое лицо,B2B,Москва,Центральный
155,НПО «Анисимов Гришин»,Юридическое лицо,B2C,Санкт-Петербург,Северо-Западный
156,Трофимов Григорий Трифонович,Физическое лицо,B2C,Новосибирск,Сибирский
157,Мухина Полина Сергеевна,Физическое лицо,B2B,Новосибирск,Сибирский
158,Ксения Александровна Третьякова,Физическое лицо,B2C,Владивосток,Дальневосточный
159,Владимир Вилорович Колесников,Физическое лицо,B2B,Калининград,Северо-Западный
160,ОАО «Котова»,Юридическое лицо,B2B,Санкт-Петербург,Северо-Западный
161,Ирина Эдуардовна Вишнякова,Физическое лицо,VIP,Сочи,Южный
162,Дементий Денисович Жуков,Физическое лицо,B2C,Санкт-Петербург,Северо-Западный
163,Кира Львовна Петрова,Физическое лицо,B2C,Владивосток,Дальневосточный
164,Фёкла Святославовна Некрасова,Физическое лицо,B2C,Владивосток,Дальневосточный
165,Валерия Яковлевна Иванова,Физическое лицо,B2C,Казань,Приволжский
166,Анастасия Владиславовна Павлова,Физическое лицо,B2C,Москва,Центральный
167,Самуил Демьянович Голубев,Физическое лицо,B2C,Казань,Приволжский
168,София Вадимовна Денисова,Физическое лицо,B2B,Сочи,Южный
169,АО «Зыкова»,Юридическое лицо,B2C,Краснодар,Южный
170,Кира Николаевна Беляева,Физическое лицо,B2C,Сочи,Южный
171,Веселов Юлиан Дорофеевич,Физическое лицо,B2B,Казань,Приволжский
172,Евпраксия Антоновна Мамонтова,Физическое лицо,VIP,Москва,Центральный
173,Дьячков Твердислав Феоктистович,Физическое лицо,B2C,Казань,Приволжский
174,Воронцова Таисия Степановна,Физическое лицо,B2B,Краснодар,Южный
175,Галактион Ермилович Сафонов,Физическое лицо,B2C,Казань,Приволжский
176,Всемил Харламович Максимов,Физическое лицо,B2C,Санкт-Петербург,Северо-Западный
177,Тарасова Наталья Аскольдовна,Физическое лицо,B2C,Нижний Новгород,Центральный
178,Турова Александра Ильинична,Физическое лицо,B2C,Калининград,Северо-Западный
179,Фокин Поликарп Валерианович,Физическое лицо,B2B,Екатеринбург,Уральский
180,ЗАО «Степанова»,Юридическое лицо,B2C,Владивосток,Дальневосточный
181,Козлова Акулина Кузьминична,Физическое лицо,B2C,Санкт-Петербург,Северо-Западный
182,Ильина Пелагея Валериевна,Физическое лицо,B2B,Владивосток,Дальневосточный
183,Транснефть,Юридическое лицо,B2B,Казань,Приволжский
184,Павлова Маргарита Леонидовна,Физическое лицо,B2B,Нижний Новгород,Центральный
185,Антонова Евдокия Викторовна,Физическое лицо,B2B,Сочи,Южный
186,Селиверстов Аристарх Харитонович,Физическое лицо,VIP,Сочи,Южный
187,Кудряшова Фёкла Егоровна,Физическое лицо,B2C,Санкт-Петербург,Северо-Западный
188,"ООО «Артемьев, Мартынов и Карпов»",Юридическое лицо,B2B,Екатеринбург,Уральский
189,Елизавета Эдуардовна Беспалова,Физическое лицо,B2C,Нижний Новгород,Центральный
190,Зайцев Андроник Филатович,Физическое лицо,B2C,Нижний Новгород,Центральный
191,Борисов Парамон Бориславович,Физическое лицо,B2B,Санкт-Петербург,Северо-Западный
192,Эмилия Яковлевна Боброва,Физическое лицо,VIP,Владивосток,Дальневосточный
193,Ирина Захаровна Игнатова,Физическое лицо,B2B,Краснодар,Южный
194,Петухова Екатерина Вениаминовна,Физическое лицо,VIP,Санкт-Петербург,Северо-Западный
195,Марк Григорьевич Фролов,Физическое лицо,B2C,Казань,Приволжский
196,Артемий Фёдорович Моисеев,Физическое лицо,B2B,Нижний Новгород,Центральный
197,Турова Иванна Робертовна,Физическое лицо,B2C,Сочи,Южный
198,Жданова Ангелина Эльдаровна,Физическое лицо,VIP,Москва,Центральный
199,Харитонов и партнеры,Юридическое лицо,B2C,Калининград,Северо-Западный
200,Виссарион Артёмович Гришин,Физическое лицо,B2C,Екатеринбург,Уральский
201,Рюрик Георгиевич Шаров,Физическое лицо,VIP,Калининград,Северо-Западный
202,"ООО «Субботина, Юдин и Соколов»",Юридическое лицо,B2C,Нижний Новгород,Центральный
203,г-жа Ковалева Нина Константиновна,Физическое лицо,B2C,Краснодар,Южный
204,Еремей Артемьевич Панов,Физическое лицо,B2C,Сочи,Южный
205,Кудрявцев Устин Феоктистович,Физическое лицо,B2C,Сочи,Южный
206,Вероника Кузьминична Артемьева,Физическое лицо,B2B,Краснодар,Южный
207,Геннадий Игоревич Молчанов,Физическое лицо,VIP,Москва,Центральный
208,Ягуар ленд ровер,Юридическое лицо,B2C,Москва,Центральный
209,Соколова Инкорпорэйтед,Юридическое лицо,B2B,Калининград,Северо-Западный
210,Гурий Ерофеевич Брагин,Физическое лицо,B2B,Новосибирск,Сибирский
211,Блохин Ипполит Федосеевич,Физическое лицо,B2C,Нижний Новгород,Центральный
212,Нина Архиповна Нестерова,Физическое лицо,VIP,Владивосток,Дальневосточный
213,Тетерина Надежда Рудольфовна,Физическое лицо,B2B,Новосибирск,Сибирский
214,Горбачева Маргарита Константиновна,Физическое лицо,B2C,Москва,Центральный
215,Мартынова Феврония Юльевна,Физическое лицо,B2C,Владивосток,Дальневосточный
216,Мариан Филатович Борисов,Физическое лицо,B2C,Казань,Приволжский
217,ИП «Фомина»,Юридическое лицо,B2C,Казань,Приволжский
218,Фомина и партнеры,Юридическое лицо,B2C,Казань,Приволжский
219,Ираида Егоровна Осипова,Физическое лицо,B2C,Екатеринбург,Уральский
220,Анатолий Виленович Ширяев,Физическое лицо,B2C,Екатеринбург,Уральский
221,Новикова Дарья Евгеньевна,Физическое лицо,B2C,Новосибирск,Сибирский
222,НПО «Иванов Зыков»,Юридическое лицо,B2C,Сочи,Южный
223,"ИП «Потапова, Веселов и Егорова»",Юридическое лицо,VIP,Казань,Приволжский
224,Николаева Синклитикия Владимировна,Физическое лицо,B2C,Нижний Новгород,Центральный
225,Анжела Макаровна Самсонова,Физическое лицо,B2B,Владивосток,Дальневосточный
226,Яков Власович Крюков,Физическое лицо,VIP,Нижний Новгород,Центральный
227,Гаврила Иларионович Кондратьев,Физическое лицо,B2C,Краснодар,Южный
228,Морозова Регина Валериевна,Физическое лицо,B2C,Владивосток,Дальневосточный
229,Овчинникова Наина Оскаровна,Физическое лицо,B2B,Владивосток,Дальневосточный
230,Евсеева Ольга Егоровна,Физическое лицо,B2C,Санкт-Петербург,Северо-Западный
231,Терентьева Людмила Тарасовна,Физическое лицо,B2B,Казань,Приволжский
232,Любовь Васильевна Потапова,Физическое лицо,B2C,Новосибирск,Сибирский
233,Антонов Аполлинарий Трофимович,Физическое лицо,B2C,Казань,Приволжский
234,Зыков Андрей Фролович,Физическое лицо,B2C,Нижний Новгород,Центральный
235,Рябов Федор Анисимович,Физическое лицо,B2C,Краснодар,Южный
236,Красильников Назар Федосеевич,Физическое лицо,B2C,Санкт-Петербург,Северо-Западный
237,Гаврилова Таисия Вячеславовна,Физическое лицо,B2B,Казань,Приволжский
238,Цветков Вацлав Архипович,Физическое лицо,B2C,Сочи,Южный
239,Евпраксия Валериевна Яковлева,Физическое лицо,B2C,Нижний Новгород,Центральный
240,Ульяна Робертовна Петухова,Физическое лицо,B2C,Казань,Приволжский
241,Монди СЛПК (Mondi),Юридическое лицо,B2C,Сочи,Южный
242,Ермакова Прасковья Геннадиевна,Физическое лицо,B2C,Казань,Приволжский
243,ЗАО «Быкова Ефимов»,Юридическое лицо,B2C,Новосибирск,Сибирский
244,"РАО «Никитин, Сергеев и Пестова»",Юридическое лицо,B2B,Калининград,Северо-Западный
245,Пелагея Оскаровна Тарасова,Физическое лицо,B2C,Нижний Новгород,Центральный
246,Лаврентьева Феврония Романовна,Физическое лицо,B2B,Калининград,Северо-Западный
247,Костин Софон Артурович,Физическое лицо,B2C,Казань,Приволжский
248,Виноградова Акулина Ильинична,Физическое лицо,VIP,Краснодар,Южный
249,Кириллов Арсений Ааронович,Физическое лицо,B2B,Москва,Центральный
250,Варвара Афанасьевна Лихачева,Физическое лицо,B2C,Краснодар,Южный
251,Кондрат Бориславович Буров,Физическое лицо,B2B,Краснодар,Южный
252,Моисей Фадеевич Копылов,Физическое лицо,B2C,Краснодар,Южный
253,Наина Болеславовна Рожкова,Физическое лицо,B2C,Екатеринбург,Уральский
254,Белова Нинель Станиславовна,Физическое лицо,VIP,Санкт-Петербург,Северо-Западный
255,Данилов Нифонт Арсенович,Физическое лицо,B2C,Новосибирск,Сибирский
256,Рожкова Ксения Афанасьевна,Физическое лицо,B2C,Новосибирск,Сибирский
257,Исаева Агафья Вениаминовна,Физическое лицо,B2C,Владивосток,Дальневосточный
258,ООО «Гордеев Степанова»,Юридическое лицо,B2B,Москва,Центральный
259,Калашникова Иванна Федоровна,Физическое лицо,B2C,Нижний Новгород,Центральный
260,Фаина Аскольдовна Суворова,Физическое лицо,B2C,Нижний Новгород,Центральный
261,Регина Александровна Соболева,Физическое лицо,VIP,Владивосток,Дальневосточный
262,Дмитриев Групп,Юридическое лицо,B2C,Казань,Приволжский
263,Зиновьева Лидия Андреевна,Физическое лицо,B2B,Калининград,Северо-Западный
264,Ипполит Григорьевич Шарапов,Физическое лицо,B2C,Екатеринбург,Уральский
265,Фаина Никифоровна Носкова,Физическое лицо,B2C,Калининград,Северо-Западный
266,Лукина Акулина Захаровна,Физическое лицо,B2B,Владивосток,Дальневосточный
267,Шубина Лариса Оскаровна,Физическое лицо,B2C,Калининград,Северо-Западный
268,Егорова Фёкла Семеновна,Физическое лицо,B2C,Нижний Новгород,Центральный
269,Всеволод Ефимьевич Колобов,Физическое лицо,VIP,Казань,Приволжский
270,Швабе,Юридическое лицо,B2B,Калининград,Северо-Западный
271,Евгений Борисович Орлов,Физическое лицо,VIP,Санкт-Петербург,Северо-Западный
272,Щербаков Симон Трофимович,Физическое лицо,B2C,Калининград,Северо-Западный
273,Радислав Арсенович Дорофеев,Физическое лицо,B2C,Нижний Новгород,Центральный
274,Агата Владиславовна Горбунова,Физическое лицо,B2C,Калининград,Северо-Западный
275,Гедеон Арсеньевич Матвеев,Физическое лицо,B2C,Краснодар,Южный
276,Зинаида Викторовна Лазарева,Физическое лицо,B2C,Нижний Новгород,Центральный
277,Устинова Таисия Тарасовна,Физическое лицо,B2C,Санкт-Петербург,Северо-Западный
278,Ия Васильевна Моисеева,Физическое лицо,B2B,Санкт-Петербург,Северо-Западный
279,Никита Валерьевич Баранов,Физическое лицо,B2C,Нижний Новгород,Центральный
280,ЗАО «Харитонов-Жданов»,Юридическое лицо,B2C,Владивосток,Дальневосточный
281,Копылов Остромир Валерьянович,Физическое лицо,B2C,Калининград,Северо-Западный
282,Брагин Терентий Геннадиевич,Физическое лицо,B2C,Санкт-Петербург,Северо-Западный
283,Никонова Лидия Матвеевна,Физическое лицо,B2C,Москва,Центральный
284,Московская инженерно-строительная компания,Юридическое лицо,B2C,Сочи,Южный
285,Мобильные телесистемы,Юридическое лицо,B2C,Новосибирск,Сибирский
286,г-н Шарапов Ферапонт Феофанович,Физическое лицо,B2C,Калининград,Северо-Западный
287,Арконик СМЗ,Юридическое лицо,B2C,Краснодар,Южный
288,Щукин Ермил Иосипович,Физическое лицо,VIP,Казань,Приволжский
289,Пимен Григорьевич Белозеров,Физическое лицо,VIP,Нижний Новгород,Центральный
290,Октябрина Станиславовна Быкова,Физическое лицо,B2B,Сочи,Южный
291,"ИП «Орлов, Морозова и Ефремова»",Юридическое лицо,B2C,Екатеринбург,Уральский
292,"РАО «Яковлев, Иванов и Кузьмин»",Юридическое лицо,B2C,Владивосток,Дальневосточный
293,Виноградов Святослав Андреевич,Физическое лицо,B2B,Москва,Центральный
294,Автоном Богданович Захаров,Физическое лицо,B2B,Краснодар,Южный
295,Шаров Валерьян Германович,Физическое лицо,B2C,Краснодар,Южный
296,НПО «Макарова Сафонов»,Юридическое лицо,B2B,Новосибирск,Сибирский
297,Селиверстова Жанна Степановна,Физическое лицо,B2C,Санкт-Петербург,Северо-Западный
298,Пахом Аверьянович Русаков,Физическое лицо,B2C,Казань,Приволжский
299,НПО «Орехова-Горбачев»,Юридическое лицо,B2C,Новосибирск,Сибирский
300,Колобов Антип Изотович,Физическое лицо,B2B,Казань,Приволжский
301,Лазарева Полина Георгиевна,Физическое лицо,B2B,Москва,Центральный
302,Ярополк Гурьевич Суворов,Физическое лицо,B2C,Екатеринбург,Уральский
303,Меркушев Фрол Викторович,Физическое лицо,B2C,Калининград,Северо-Западный
304,Дмитриева Фёкла Харитоновна,Физическое лицо,B2C,Калининград,Северо-Западный
305,Матвеев Евлампий Еремеевич,Физическое лицо,B2C,Калининград,Северо-Западный
306,Большаков Григорий Бенедиктович,Физическое лицо,B2C,Сочи,Южный
307,Быкова Фаина Романовна,Физическое лицо,B2C,Краснодар,Южный
308,Милица Павловна Архипова,Физическое лицо,B2B,Владивосток,Дальневосточный
309,Лариса Натановна Тарасова,Физическое лицо,B2B,Екатеринбург,Уральский
310,Кириллов Всеслав Ерофеевич,Физическое лицо,B2C,Краснодар,Южный
311,АО «Семенов-Титов»,Юридическое лицо,B2C,Владивосток,Дальневосточный
312,Елизавета Борисовна Комиссарова,Физическое лицо,B2C,Краснодар,Южный
313,Гаврилов Гостомысл Владиславович,Физическое лицо,B2B,Нижний Новгород,Центральный
314,Гаврила Брониславович Гаврилов,Физическое лицо,B2C,Сочи,Южный
315,Ульяна Болеславовна Терентьева,Физическое лицо,B2C,Санкт-Петербург,Северо-Западный
316,Клавдий Бориславович Некрасов,Физическое лицо,B2B,Владивосток,Дальневосточный
317,Людмила Тимофеевна Денисова,Физическое лицо,B2C,Москва,Центральный
318,Шаров Степан Давыдович,Физическое лицо,B2C,Владивосток,Дальневосточный
319,Терентьева Антонина Михайловна,Физическое лицо,B2C,Калининград,Северо-Западный
320,Емельянова Маргарита Феликсовна,Физическое лицо,B2C,Москва,Центральный
321,Прокофий Анисимович Архипов,Физическое лицо,B2C,Москва,Центральный
322,Горшков Казимир Евстигнеевич,Физическое лицо,B2B,Нижний Новгород,Центральный
323,НПО «Морозова-Некрасова»,Юридическое лицо,VIP,Санкт-Петербург,Северо-Западный
324,РАО «Крылова»,Юридическое лицо,B2C,Калининград,Северо-Западный
325,Рогова Евфросиния Руслановна,Физическое лицо,B2B,Новосибирск,Сибирский
326,Владлен Геннадиевич Королев,Физическое лицо,B2B,Владивосток,Дальневосточный
327,ОАО «Пестова Орлов»,Юридическое лицо,VIP,Новосибирск,Сибирский
328,Исидор Филатович Лукин,Физическое лицо,VIP,Нижний Новгород,Центральный
329,Марфа Викторовна Соколова,Физическое лицо,B2B,Санкт-Петербург,Северо-Западный
330,Пономарев Евграф Федотович,Физическое лицо,B2C,Нижний Новгород,Центральный
331,Абрамов Милен Григорьевич,Физическое лицо,VIP,Москва,Центральный
332,Поликарп Вячеславович Красильников,Физическое лицо,VIP,Владивосток,Дальневосточный
333,Ильина Агафья Андреевна,Физическое лицо,B2C,Нижний Новгород,Центральный
334,Капустин Ратмир Юльевич,Физическое лицо,B2C,Владивосток,Дальневосточный
